date,expiry,dte,weekday,entry_time,exit_time,spot_entry,atm_strike,mp_strike_proxy,mp_dist_pct,gap_pct,intraday_pct_to_1030,intraday_range_pct_to_1030,vix_proxy,ce_entry,pe_entry,entry_premium,ce_exit,pe_exit,exit_premium,pnl_per_share,pnl_per_lot_gross,pnl_per_lot_net,rs_per_cr,rs_per_cr_axis,rs_per_cr_monarch
2026-02-02,2026-02-03,1,Monday,10:30,15:25,24911.7,24900,25500,2.362,-2.458,0.416,0.915,10.89,99.3,158.9,258.2,202.55,34.45,237.0,21.2,1590.0,1390.0,59149.0,67149.0,66809.0
2026-02-09,2026-02-10,1,Monday,09:30,11:00,25894.0,25900,25800,0.363,0.134,0.132,0.257,14.89,57.15,117.45,174.6,68.75,91.15,159.9,14.7,1102.0,902.0,38404.0,46404.0,46064.0
2026-02-09,2026-02-10,1,Monday,09:30,12:00,25894.0,25900,25800,0.363,0.134,0.132,0.257,14.89,57.15,117.45,174.6,50.3,106.35,156.65,17.95,1346.0,1146.0,48777.0,56777.0,56436.0
2026-02-09,2026-02-10,1,Monday,09:30,13:00,25894.0,25900,25800,0.363,0.134,0.132,0.257,14.89,57.15,117.45,174.6,47.85,103.75,151.6,23.0,1725.0,1525.0,64894.0,72894.0,72553.0
2026-02-09,2026-02-10,1,Monday,09:30,15:25,25894.0,25900,25800,0.363,0.134,0.132,0.257,14.89,57.15,117.45,174.6,52.75,93.9,146.65,27.95,2096.0,1896.0,80691.0,88691.0,88351.0
2026-02-09,2026-02-10,1,Monday,10:00,11:00,25890.0,25900,25800,0.348,0.134,0.132,0.257,14.89,55.15,116.3,171.45,68.75,91.15,159.9,11.55,866.0,666.0,28351.0,36351.0,36011.0
2026-02-09,2026-02-10,1,Monday,10:00,12:00,25890.0,25900,25800,0.348,0.134,0.132,0.257,14.89,55.15,116.3,171.45,50.3,106.35,156.65,14.8,1110.0,910.0,38723.0,46723.0,46383.0
2026-02-09,2026-02-10,1,Monday,10:00,13:00,25890.0,25900,25800,0.348,0.134,0.132,0.257,14.89,55.15,116.3,171.45,47.85,103.75,151.6,19.85,1489.0,1289.0,54840.0,62840.0,62500.0
2026-02-09,2026-02-10,1,Monday,10:00,15:25,25890.0,25900,25800,0.348,0.134,0.132,0.257,14.89,55.15,116.3,171.45,52.75,93.9,146.65,24.8,1860.0,1660.0,70638.0,78638.0,78298.0
2026-02-09,2026-02-10,1,Monday,10:30,11:00,25885.0,25900,25800,0.328,0.134,0.132,0.257,14.89,49.65,118.0,167.65,68.75,91.15,159.9,7.75,581.0,381.0,16223.0,24223.0,23883.0
2026-02-09,2026-02-10,1,Monday,10:30,12:00,25885.0,25900,25800,0.328,0.134,0.132,0.257,14.89,49.65,118.0,167.65,50.3,106.35,156.65,11.0,825.0,625.0,26596.0,34596.0,34255.0
2026-02-09,2026-02-10,1,Monday,10:30,13:00,25885.0,25900,25800,0.328,0.134,0.132,0.257,14.89,49.65,118.0,167.65,47.85,103.75,151.6,16.05,1204.0,1004.0,42713.0,50713.0,50372.0
2026-02-09,2026-02-10,1,Monday,10:30,15:25,25885.0,25900,25800,0.328,0.134,0.132,0.257,14.89,49.65,118.0,167.65,52.75,93.9,146.65,21.0,1575.0,1375.0,58511.0,66511.0,66170.0
2026-02-16,2026-02-17,1,Monday,09:30,11:00,25526.0,25550,25500,0.102,-0.102,0.452,0.664,15.54,60.4,115.0,175.4,77.35,88.7,166.05,9.35,701.0,501.0,21330.0,29330.0,28989.0
2026-02-16,2026-02-17,1,Monday,09:30,12:00,25526.0,25550,25500,0.102,-0.102,0.452,0.664,15.54,60.4,115.0,175.4,71.45,85.7,157.15,18.25,1369.0,1169.0,49734.0,57734.0,57394.0
2026-02-16,2026-02-17,1,Monday,09:30,13:00,25526.0,25550,25500,0.102,-0.102,0.452,0.664,15.54,60.4,115.0,175.4,85.75,69.65,155.4,20.0,1500.0,1300.0,55319.0,63319.0,62979.0
2026-02-16,2026-02-17,1,Monday,09:30,15:25,25526.0,25550,25500,0.102,-0.102,0.452,0.664,15.54,60.4,115.0,175.4,180.25,34.35,214.6,-39.2,-2940.0,-3140.0,-133617.0,-125617.0,-125957.0
2026-02-16,2026-02-17,1,Monday,10:00,11:00,25530.0,25550,25500,0.118,-0.102,0.452,0.664,15.54,59.45,108.15,167.6,77.35,88.7,166.05,1.55,116.0,-84.0,-3564.0,4436.0,4096.0
2026-02-16,2026-02-17,1,Monday,10:00,12:00,25530.0,25550,25500,0.118,-0.102,0.452,0.664,15.54,59.45,108.15,167.6,71.45,85.7,157.15,10.45,784.0,584.0,24840.0,32840.0,32500.0
2026-02-16,2026-02-17,1,Monday,10:00,13:00,25530.0,25550,25500,0.118,-0.102,0.452,0.664,15.54,59.45,108.15,167.6,85.75,69.65,155.4,12.2,915.0,715.0,30426.0,38426.0,38085.0
2026-02-16,2026-02-17,1,Monday,10:00,15:25,25530.0,25550,25500,0.118,-0.102,0.452,0.664,15.54,59.45,108.15,167.6,180.25,34.35,214.6,-47.0,-3525.0,-3725.0,-158511.0,-150511.0,-150851.0
2026-02-16,2026-02-17,1,Monday,10:30,11:00,25561.6,25550,25500,0.241,-0.102,0.452,0.664,15.54,77.85,91.75,169.6,77.35,88.7,166.05,3.55,266.0,66.0,2819.0,10819.0,10479.0
2026-02-16,2026-02-17,1,Monday,10:30,12:00,25561.6,25550,25500,0.241,-0.102,0.452,0.664,15.54,77.85,91.75,169.6,71.45,85.7,157.15,12.45,934.0,734.0,31223.0,39223.0,38883.0
2026-02-16,2026-02-17,1,Monday,10:30,13:00,25561.6,25550,25500,0.241,-0.102,0.452,0.664,15.54,77.85,91.75,169.6,85.75,69.65,155.4,14.2,1065.0,865.0,36809.0,44809.0,44468.0
2026-02-16,2026-02-17,1,Monday,10:30,15:25,25561.6,25550,25500,0.241,-0.102,0.452,0.664,15.54,77.85,91.75,169.6,180.25,34.35,214.6,-45.0,-3375.0,-3575.0,-152128.0,-144128.0,-144468.0
2026-02-23,2026-02-24,1,Monday,09:30,11:00,25770.0,25750,25700,0.272,0.396,0.098,0.572,15.59,114.65,90.4,205.05,63.2,142.6,205.8,-0.75,-56.0,-256.0,-10904.0,-2904.0,-3245.0
2026-02-23,2026-02-24,1,Monday,09:30,12:00,25770.0,25750,25700,0.272,0.396,0.098,0.572,15.59,114.65,90.4,205.05,53.5,155.2,208.7,-3.65,-274.0,-474.0,-20160.0,-12160.0,-12500.0
2026-02-23,2026-02-24,1,Monday,09:30,13:00,25770.0,25750,25700,0.272,0.396,0.098,0.572,15.59,114.65,90.4,205.05,46.6,162.9,209.5,-4.45,-334.0,-534.0,-22713.0,-14713.0,-15053.0
2026-02-23,2026-02-24,1,Monday,09:30,15:25,25770.0,25750,25700,0.272,0.396,0.098,0.572,15.59,114.65,90.4,205.05,67.0,103.5,170.5,34.55,2591.0,2391.0,101755.0,109755.0,109415.0
2026-02-23,2026-02-24,1,Monday,10:00,11:00,25731.3,25750,25700,0.122,0.396,0.098,0.572,15.59,91.1,109.95,201.05,63.2,142.6,205.8,-4.75,-356.0,-556.0,-23670.0,-15670.0,-16011.0
2026-02-23,2026-02-24,1,Monday,10:00,12:00,25731.3,25750,25700,0.122,0.396,0.098,0.572,15.59,91.1,109.95,201.05,53.5,155.2,208.7,-7.65,-574.0,-774.0,-32926.0,-24926.0,-25266.0
2026-02-23,2026-02-24,1,Monday,10:00,13:00,25731.3,25750,25700,0.122,0.396,0.098,0.572,15.59,91.1,109.95,201.05,46.6,162.9,209.5,-8.45,-634.0,-834.0,-35479.0,-27479.0,-27819.0
2026-02-23,2026-02-24,1,Monday,10:00,15:25,25731.3,25750,25700,0.122,0.396,0.098,0.572,15.59,91.1,109.95,201.05,67.0,103.5,170.5,30.55,2291.0,2091.0,88989.0,96989.0,96649.0
2026-02-23,2026-02-24,1,Monday,10:30,11:00,25708.5,25700,25700,0.033,0.396,0.098,0.572,15.59,102.15,92.75,194.9,84.5,114.85,199.35,-4.45,-334.0,-534.0,-22713.0,-14713.0,-15053.0
2026-02-23,2026-02-24,1,Monday,10:30,12:00,25708.5,25700,25700,0.033,0.396,0.098,0.572,15.59,102.15,92.75,194.9,72.7,124.1,196.8,-1.9,-143.0,-343.0,-14574.0,-6574.0,-6915.0
2026-02-23,2026-02-24,1,Monday,10:30,13:00,25708.5,25700,25700,0.033,0.396,0.098,0.572,15.59,102.15,92.75,194.9,64.35,130.55,194.9,0.0,0.0,-200.0,-8511.0,-511.0,-851.0
2026-02-23,2026-02-24,1,Monday,10:30,15:25,25708.5,25700,25700,0.033,0.396,0.098,0.572,15.59,102.15,92.75,194.9,90.15,77.75,167.9,27.0,2025.0,1825.0,77660.0,85660.0,85319.0
