date,expiry,dte,weekday,entry_time,exit_time,spot_entry,atm_strike,mp_strike_proxy,mp_dist_pct,gap_pct,intraday_pct_to_1030,intraday_range_pct_to_1030,vix_proxy,ce_entry,pe_entry,entry_premium,ce_exit,pe_exit,exit_premium,pnl_per_share,pnl_per_lot_gross,pnl_per_lot_net,rs_per_cr,rs_per_cr_axis,rs_per_cr_monarch
2025-05-06,2025-05-08,2,Tuesday,09:30,15:25,24519.3,24500,24500,0.079,0.032,0.38,0.475,14.22,56.4,120.8,177.2,22.75,180.9,203.65,-26.45,-1984.0,-2184.0,-92926.0,-84926.0,-85266.0
2025-06-30,2025-07-03,3,Monday,09:30,13:00,25727.0,25750,25600,0.494,0.031,0.284,0.432,11.55,81.25,202.45,283.7,48.35,261.75,310.1,-26.4,-1980.0,-2180.0,-92766.0,-84766.0,-85106.0
2025-07-28,2025-07-31,3,Monday,10:30,13:00,24925.0,24900,25000,0.301,-0.557,0.467,0.701,9.17,127.25,101.2,228.45,55.1,199.65,254.75,-26.3,-1973.0,-2173.0,-92447.0,-84447.0,-84787.0
2025-08-01,2025-08-07,4,Friday,10:30,12:00,24827.0,24850,24700,0.512,-0.275,0.141,0.423,7.29,112.15,197.25,309.4,78.35,257.2,335.55,-26.15,-1961.0,-2161.0,-91968.0,-83968.0,-84309.0
2025-07-28,2025-07-31,3,Monday,09:30,15:25,24825.6,24850,25000,0.703,-0.557,0.467,0.701,9.17,101.55,123.75,225.3,55.25,196.15,251.4,-26.1,-1957.0,-2157.0,-91809.0,-83809.0,-84149.0
2026-01-22,2026-01-27,3,Thursday,10:30,12:00,25303.0,25300,26000,2.755,0.556,0.029,0.644,9.51,138.95,134.7,273.65,107.5,192.1,299.6,-25.95,-1946.0,-2146.0,-91330.0,-83330.0,-83670.0
2025-07-25,2025-07-31,4,Friday,09:30,12:00,25011.7,25000,25000,0.047,-0.283,0.476,0.572,9.15,131.4,122.75,254.15,73.95,206.15,280.1,-25.95,-1946.0,-2146.0,-91330.0,-83330.0,-83670.0
2025-08-08,2025-08-14,4,Friday,10:00,15:25,24543.0,24550,24600,0.232,-0.186,0.523,0.726,8.53,108.3,164.0,272.3,70.45,227.75,298.2,-25.9,-1942.0,-2142.0,-91170.0,-83170.0,-83511.0
2025-05-02,2025-05-08,4,Friday,10:30,15:25,24615.9,24600,24400,0.877,0.08,0.968,1.305,15.87,156.7,215.7,372.4,53.65,344.35,398.0,-25.6,-1920.0,-2120.0,-90213.0,-82213.0,-82553.0
2025-10-08,2025-10-14,4,Wednesday,10:00,13:00,25252.5,25250,25200,0.208,-0.088,0.056,0.424,9.35,78.25,135.0,213.25,53.4,185.35,238.75,-25.5,-1912.0,-2112.0,-89894.0,-81894.0,-82234.0
2025-07-18,2025-07-24,4,Friday,10:00,12:00,25095.0,25100,25200,0.418,-0.01,0.612,0.675,10.17,111.75,140.4,252.15,82.25,195.3,277.55,-25.4,-1905.0,-2105.0,-89574.0,-81574.0,-81915.0
2026-04-02,2026-04-07,3,Thursday,09:30,15:25,22366.3,22350,23000,2.833,-2.217,0.61,0.906,29.36,264.7,338.9,603.6,467.4,161.35,628.75,-25.15,-1886.0,-2086.0,-88777.0,-80777.0,-81117.0
2025-11-13,2025-11-18,3,Thursday,10:00,15:25,25961.0,25950,25800,0.62,-0.104,0.177,0.4,13.49,106.7,143.15,249.85,118.85,156.0,274.85,-25.0,-1875.0,-2075.0,-88298.0,-80298.0,-80638.0
2026-02-20,2026-02-24,2,Friday,09:30,15:25,25440.0,25450,25500,0.236,0.02,0.583,0.766,16.08,123.6,133.9,257.5,209.4,73.05,282.45,-24.95,-1871.0,-2071.0,-88138.0,-80138.0,-80479.0
2025-05-12,2025-05-15,3,Monday,10:00,12:00,24805.1,24800,24000,3.246,1.594,1.289,1.716,13.84,131.5,209.9,341.4,144.25,222.0,366.25,-24.85,-1864.0,-2064.0,-87819.0,-79819.0,-80160.0
2026-05-04,2026-05-05,1,Monday,10:00,11:00,24345.4,24350,24200,0.597,0.394,0.359,0.662,27.97,88.95,144.9,233.85,67.6,191.0,258.6,-24.75,-1856.0,-2056.0,-87500.0,-79500.0,-79840.0
2025-08-01,2025-08-07,4,Friday,09:30,15:25,24753.0,24750,24700,0.214,-0.275,0.141,0.423,7.29,125.85,184.15,310.0,77.55,257.2,334.75,-24.75,-1856.0,-2056.0,-87500.0,-79500.0,-79840.0
2025-07-25,2025-07-31,4,Friday,09:30,13:00,25011.7,25000,25000,0.047,-0.283,0.476,0.572,9.15,131.4,122.75,254.15,71.8,207.05,278.85,-24.7,-1853.0,-2053.0,-87340.0,-79340.0,-79681.0
2026-03-13,2026-03-17,2,Friday,09:30,11:00,23552.9,23550,23500,0.225,-0.923,0.255,0.761,17.91,197.65,260.4,458.05,162.55,320.05,482.6,-24.55,-1841.0,-2041.0,-86862.0,-78862.0,-79202.0
2025-10-17,2025-10-20,1,Friday,10:00,13:00,25668.0,25650,25600,0.265,-0.104,0.41,0.578,10.7,77.0,99.9,176.9,134.85,66.1,200.95,-24.05,-1804.0,-2004.0,-85266.0,-77266.0,-77606.0
2025-10-08,2025-10-14,4,Wednesday,09:30,13:00,25270.1,25250,25200,0.277,-0.088,0.056,0.424,9.35,87.9,127.0,214.9,53.4,185.35,238.75,-23.85,-1789.0,-1989.0,-84628.0,-76628.0,-76968.0
2025-05-26,2025-05-29,3,Monday,10:00,12:00,25099.5,25100,25000,0.396,0.241,0.22,0.756,19.27,200.55,201.0,401.55,182.1,243.3,425.4,-23.85,-1789.0,-1989.0,-84628.0,-76628.0,-76968.0
2025-10-23,2025-10-28,3,Thursday,10:00,15:25,26138.0,26150,26000,0.528,1.144,0.079,0.665,12.89,121.7,127.8,249.5,43.3,230.05,273.35,-23.85,-1789.0,-1989.0,-84628.0,-76628.0,-76968.0
2025-05-30,2025-06-05,4,Friday,09:30,11:00,24958.0,24950,24800,0.633,0.437,0.246,0.52,19.53,175.2,256.65,431.85,150.85,304.85,455.7,-23.85,-1789.0,-1989.0,-84628.0,-76628.0,-76968.0
2025-11-06,2025-11-11,3,Thursday,10:00,11:00,25760.0,25750,25700,0.233,0.16,0.368,0.641,13.94,85.2,157.1,242.3,56.6,209.5,266.1,-23.8,-1785.0,-1985.0,-84468.0,-76468.0,-76809.0
2025-12-29,2025-12-30,1,Monday,10:00,15:25,26039.7,26050,26000,0.152,0.084,0.168,0.274,7.56,46.1,57.35,103.45,19.95,107.15,127.1,-23.65,-1774.0,-1974.0,-83989.0,-75989.0,-76330.0
2025-07-02,2025-07-03,1,Wednesday,10:00,12:00,25643.0,25650,25600,0.168,-0.957,0.133,0.349,11.97,39.0,136.5,175.5,23.35,175.75,199.1,-23.6,-1770.0,-1970.0,-83830.0,-75830.0,-76170.0
2026-01-09,2026-01-13,2,Friday,10:30,11:00,25990.0,26000,26000,0.038,0.004,0.124,0.366,9.01,53.95,135.85,189.8,36.8,176.6,213.4,-23.6,-1770.0,-1970.0,-83830.0,-75830.0,-76170.0
2025-04-29,2025-04-30,1,Tuesday,10:00,11:00,24485.0,24500,24400,0.347,0.126,0.221,0.62,18.12,34.3,163.4,197.7,21.15,200.1,221.25,-23.55,-1766.0,-1966.0,-83670.0,-75670.0,-76011.0
2025-06-24,2025-06-26,2,Tuesday,10:30,12:00,25258.9,25250,25000,1.025,0.321,0.295,0.591,10.66,124.65,114.5,239.15,169.15,93.55,262.7,-23.55,-1766.0,-1966.0,-83670.0,-75670.0,-76011.0
2025-10-08,2025-10-14,4,Wednesday,10:00,11:00,25252.5,25250,25200,0.208,-0.088,0.056,0.424,9.35,78.25,135.0,213.25,51.5,185.3,236.8,-23.55,-1766.0,-1966.0,-83670.0,-75670.0,-76011.0
2025-04-25,2025-04-30,3,Friday,10:00,12:00,24156.4,24150,24300,0.594,0.891,1.669,1.858,,152.95,246.65,399.6,81.0,342.15,423.15,-23.55,-1766.0,-1966.0,-83670.0,-75670.0,-76011.0
2025-07-25,2025-07-31,4,Friday,09:30,11:00,25011.7,25000,25000,0.047,-0.283,0.476,0.572,9.15,131.4,122.75,254.15,79.95,197.7,277.65,-23.5,-1762.0,-1962.0,-83511.0,-75511.0,-75851.0
2026-03-23,2026-03-24,1,Monday,09:30,11:00,22723.1,22700,22700,0.102,-1.404,1.163,1.262,21.75,222.15,218.65,440.8,147.8,316.5,464.3,-23.5,-1762.0,-1962.0,-83511.0,-75511.0,-75851.0
2026-03-13,2026-03-17,2,Friday,10:00,13:00,23417.0,23400,23500,0.354,-0.923,0.255,0.761,17.91,221.3,263.9,485.2,174.65,334.0,508.65,-23.45,-1759.0,-1959.0,-83351.0,-75351.0,-75691.0
2025-07-11,2025-07-17,4,Friday,10:30,12:00,25295.8,25300,25500,0.807,-0.311,0.118,0.363,11.45,104.75,144.05,248.8,83.8,188.4,272.2,-23.4,-1755.0,-1955.0,-83191.0,-75191.0,-75532.0
2025-06-16,2025-06-19,3,Monday,09:30,12:00,24822.0,24800,24800,0.089,0.078,0.512,0.614,11.07,135.4,151.65,287.05,210.25,100.2,310.45,-23.4,-1755.0,-1955.0,-83191.0,-75191.0,-75532.0
2026-03-13,2026-03-17,2,Friday,09:30,12:00,23552.9,23550,23500,0.225,-0.923,0.255,0.761,17.91,197.65,260.4,458.05,151.9,329.55,481.45,-23.4,-1755.0,-1955.0,-83191.0,-75191.0,-75532.0
2025-05-13,2025-05-15,2,Tuesday,10:00,13:00,24811.0,24800,26000,4.792,-0.363,0.877,1.214,20.6,151.9,230.5,382.4,99.8,306.0,405.8,-23.4,-1755.0,-1955.0,-83191.0,-75191.0,-75532.0
2025-07-18,2025-07-24,4,Friday,09:30,15:25,25133.2,25150,25200,0.266,-0.01,0.612,0.675,10.17,104.65,148.2,252.85,74.5,201.65,276.15,-23.3,-1747.0,-1947.0,-82872.0,-74872.0,-75213.0
